0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:38:45 +0530] "GET /Railway_Reservation_System HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:38:46 +0530] "GET /Railway_Reservation_System/ HTTP/1.1" 200 6118
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:38:46 +0530] "GET /Railway_Reservation_System/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:38:46 +0530] "GET /Railway_Reservation_System/Image/mumbai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:38:46 +0530] "GET /Railway_Reservation_System/Image/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:38:46 +0530] "GET /Railway_Reservation_System/Image/pune.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:38:46 +0530] "GET /Railway_Reservation_System/Image/gujrat.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:38:46 +0530] "GET /Railway_Reservation_System/Image/havada.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:38:46 +0530] "GET /Railway_Reservation_System/Image/kolkatta.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:38:46 +0530] "GET /Railway_Reservation_System/Image/benglore.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:38:46 +0530] "GET /Railway_Reservation_System/Image/Delhi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:38:46 +0530] "GET /Railway_Reservation_System/Image/chenai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:38:46 +0530] "GET /Railway_Reservation_System/Image/dhudhsagar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:38:46 +0530] "GET /Railway_Reservation_System/Image/train.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:40:07 +0530] "GET /Railway_Reservation_System/Booking.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:40:07 +0530] "GET /Railway_Reservation_System/login.jsp HTTP/1.1" 200 3909
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:40:07 +0530] "GET /Railway_Reservation_System/style_Login.css HTTP/1.1" 304 -
